section,text
419a,"And Adeimantus broke in and said, What will be your defence, Socrates, if anyone objects that you are not making these men very happy, and that through their own fault? For the city really belongs to them and yet they get no enjoyment out of it as ordinary men do by owning lands and building fine big houses and providing them with suitable furniture and winning the favor of the gods by private sacrifices and entertaining guests and enjoying too those possessions which you just now spoke of, gold and silver and all that is customary for those who are expecting to be happy?"
420a,"exactly like hired mercenaries, with nothing to do but keep guard."
420b,"What then will be our apology you ask? Yes. By following the same path I think we shall find what to reply. For we shall say that while it would not surprise us if these men thus living prove to be the most happy, yet the object on which we fixed our eyes in the establishment of our state was not the exceptional happiness of any one class but the greatest possible happiness of the city as a whole. For we thought that in a state so constituted we should be most likely to discover justice as we should injustice   in the worst governed state, and that when we had made these out we could pass judgement on the issue of our long inquiry. Our first task then, we take it, is to mold the model of a happy state—we are not isolating a small class in it and postulating their happiness, but that of the city as a whole. But the opposite type of state we will consider presently. It is as if we were coloring a statue and someone approached and censured us, saying that we did not apply the most beautiful pigments to the most beautiful parts of the image, since the eyes, which are the most beautiful part, have not been painted with purple but with black—   we should think it a reasonable justification to reply, Don’t expect us, quaint friend, to paint the eyes so fine that they will not be like eyes at all, nor the other parts. But observe whether by assigning what is proper to each we render the whole beautiful. And so in the present case you must not require us to attach to the guardians a happiness that will make them anything but guardians.   For in like manner we could clothe the farmers in robes of state and deck them with gold and bid them cultivate the soil at their pleasure, and we could make the potters recline on couches from left to right before the fire drinking toasts and feasting with their wheel alongside to potter with when they are so disposed, and we can make all the others happy in the same fashion, so that thus the entire city may be happy."
420c,"in the worst governed state, and that when we had made these out we could pass judgement on the issue of our long inquiry. Our first task then, we take it, is to mold the model of a happy state—we are not isolating a small class in it and postulating their happiness, but that of the city as a whole. But the opposite type of state we will consider presently. It is as if we were coloring a statue and someone approached and censured us, saying that we did not apply the most beautiful pigments to the most beautiful parts of the image, since the eyes, which are the most beautiful part, have not been painted with purple but with black—"
420d,"we should think it a reasonable justification to reply, Don’t expect us, quaint friend, to paint the eyes so fine that they will not be like eyes at all, nor the other parts. But observe whether by assigning what is proper to each we render the whole beautiful. And so in the present case you must not require us to attach to the guardians a happiness that will make them anything but guardians."
420e,"For in like manner we could clothe the farmers in robes of state and deck them with gold and bid them cultivate the soil at their pleasure, and we could make the potters recline on couches from left to right before the fire drinking toasts and feasting with their wheel alongside to potter with when they are so disposed, and we can make all the others happy in the same fashion, so that thus the entire city may be happy."
421a,"since, if we yield, the farmer will not be a farmer nor the potter a potter, nor will any other of the types that constitute state keep its form. However, for the others it matters less. For cobblers who deteriorate and are spoiled and pretend to be the workmen that they are not are no great danger to a state. But guardians of laws and of the city who are not what they pretend to be, but only seem, destroy utterly, I would have you note, the entire state, and on the other hand, they alone are decisive of its good government and happiness. If then we are forming true guardians"
421b,"and keepers of our liberties, men least likely to harm the commonwealth, but the proponent of the other ideal is thinking of farmers and happy feasters as it were in a festival and not in a civic community, he would have something else in mind than a state. Consider, then, whether our aim in establishing the guardians is the greatest possible happiness among them or whether that is something we must look to see develop in the city as a whole, but these helpers and guardians"
421c,"are to be constrained and persuaded to do what will make them the best craftsmen in their own work, and similarly all the rest. And so, as the entire city develops and is ordered well, each class is to be left, to the share of happiness that its nature comports."
421d,these are the causes that corrupt other craftsmen too so as positively to spoil them.
