section,text
327a,"κατέβην χθὲς εἰς Πειραιᾶ μετὰ Γλαύκωνος τοῦ Ἀρίστωνος προσευξόμενός τε τῇ θεῷ καὶ ἅμα τὴν ἑορτὴν βουλόμενος θεάσασθαι τίνα τρόπον ποιήσουσιν ἅτε νῦν πρῶτον ἄγοντες. καλὴ μὲν οὖν μοι καὶ ἡ τῶν ἐπιχωρίων πομπὴ ἔδοξεν εἶναι, οὐ μέντοι ἧττον ἐφαίνετο πρέπειν ἣν οἱ Θρᾷκες ἔπεμπον."
327b,"προσευξάμενοι δὲ καὶ θεωρήσαντες ἀπῇμεν πρὸς τὸ ἄστυ. κατιδὼν οὖν πόρρωθεν ἡμᾶς οἴκαδε ὡρμημένους Πολέμαρχος ὁ Κεφάλου ἐκέλευσε δραμόντα τὸν παῖδα περιμεῖναί ἑ κελεῦσαι. καί μου ὄπισθεν ὁ παῖς λαβόμενος τοῦ ἱματίου, κελεύει ὑμᾶς, ἔφη, Πολέμαρχος περιμεῖναι. καὶ ἐγὼ μετεστράφην τε καὶ ἠρόμην ὅπου αὐτὸς εἴη. οὗτος, ἔφη, ὄπισθεν προσέρχεται· ἀλλὰ περιμένετε. ἀλλὰ περιμενοῦμεν, ἦ δʼ ὃς ὁ Γλαύκων."
327c,"καὶ ὀλίγῳ ὕστερον ὅ τε Πολέμαρχος ἧκε καὶ Ἀδείμαντος ὁ τοῦ Γλαύκωνος ἀδελφὸς καὶ Νικήρατος ὁ Νικίου καὶ ἄλλοι τινὲς ὡς ἀπὸ τῆς πομπῆς. 
ὁ οὖν Πολέμαρχος ἔφη· ὦ Σώκρατες, δοκεῖτέ μοι πρὸς ἄστυ ὡρμῆσθαι ὡς ἀπιόντες. 
οὐ γὰρ κακῶς δοξάζεις, ἦν δʼ ἐγώ. 
ὁρᾷς οὖν ἡμᾶς, ἔφη, ὅσοι ἐσμέν; 
πῶς γὰρ οὔ; 
ἢ τοίνυν τούτων, ἔφη, κρείττους γένεσθε ἢ μένετʼ αὐτοῦ. 
οὐκοῦν, ἦν δʼ ἐγώ, ἔτι ἓν λείπεται, τὸ ἢν πείσωμεν ὑμᾶς ὡς χρὴ ἡμᾶς ἀφεῖναι; 
ἦ καὶ δύναισθʼ ἄν, ἦ δʼ ὅς, πεῖσαι μὴ ἀκούοντας; 
οὐδαμῶς, ἔφη ὁ Γλαύκων. 
ὡς τοίνυν μὴ ἀκουσομένων, οὕτω διανοεῖσθε."
328a,"καὶ ὁ Ἀδείμαντος, ἆρά γε, ἦ δʼ ὅς, οὐδʼ ἴστε ὅτι λαμπὰς ἔσται πρὸς ἑσπέραν ἀφʼ ἵππων τῇ θεῷ; 
ἀφʼ ἵππων; ἦν δʼ ἐγώ· καινόν γε τοῦτο. λαμπάδια ἔχοντες διαδώσουσιν ἀλλήλοις ἁμιλλώμενοι τοῖς ἵπποις; ἢ πῶς λέγεις; 
οὕτως, ἔφη ὁ Πολέμαρχος. καὶ πρός γε παννυχίδα ποιήσουσιν, ἣν ἄξιον θεάσασθαι· ἐξαναστησόμεθα γὰρ μετὰ τὸ δεῖπνον καὶ τὴν παννυχίδα θεασόμεθα. καὶ συνεσόμεθά τε πολλοῖς τῶν νέων αὐτόθι καὶ διαλεξόμεθα. ἀλλὰ μένετε"
328b,"καὶ μὴ ἄλλως ποιεῖτε. 
καὶ ὁ Γλαύκων, ἔοικεν, ἔφη, μενετέον εἶναι. 
ἀλλʼ εἰ δοκεῖ, ἦν δʼ ἐγώ, οὕτω χρὴ ποιεῖν. 
ἦιμεν οὖν οἴκαδε εἰς τοῦ Πολεμάρχου, καὶ Λυσίαν τε αὐτόθι κατελάβομεν καὶ Εὐθύδημον, τοὺς τοῦ Πολεμάρχου ἀδελφούς, καὶ δὴ καὶ Θρασύμαχον τὸν Καλχηδόνιον καὶ Χαρμαντίδην τὸν Παιανιᾶ καὶ Κλειτοφῶντα τὸν Ἀριστωνύμου· ἦν δʼ ἔνδον καὶ ὁ πατὴρ ὁ τοῦ Πολεμάρχου Κέφαλος. καὶ μάλα πρεσβύτης μοι ἔδοξεν εἶναι· διὰ χρόνου γὰρ καὶ"
328c,"ἑωράκη αὐτόν. καθῆστο δὲ ἐστεφανωμένος ἐπί τινος προσκεφαλαίου τε καὶ δίφρου· τεθυκὼς γὰρ ἐτύγχανεν ἐν τῇ αὐλῇ. ἐκαθεζόμεθα οὖν παρʼ αὐτόν· ἔκειντο γὰρ δίφροι τινὲς αὐτόθι κύκλῳ. 
εὐθὺς οὖν με ἰδὼν ὁ Κέφαλος ἠσπάζετό τε καὶ εἶπεν· ὦ Σώκρατες, οὐ δὲ θαμίζεις ἡμῖν καταβαίνων εἰς τὸν Πειραιᾶ. χρῆν μέντοι. εἰ μὲν γὰρ ἐγὼ ἔτι ἐν δυνάμει ἦ τοῦ ῥᾳδίως πορεύεσθαι πρὸς τὸ ἄστυ, οὐδὲν ἂν σὲ ἔδει δεῦρο"
328d,"ἰέναι, ἀλλʼ ἡμεῖς ἂν παρὰ σὲ ᾖμεν· νῦν δέ σε χρὴ πυκνότερον δεῦρο ἰέναι. ὡς εὖ ἴσθι ὅτι ἔμοιγε ὅσον αἱ ἄλλαι αἱ κατὰ τὸ σῶμα ἡδοναὶ ἀπομαραίνονται, τοσοῦτον αὔξονται αἱ περὶ τοὺς λόγους ἐπιθυμίαι τε καὶ ἡδοναί. μὴ οὖν ἄλλως ποίει, ἀλλὰ τοῖσδέ τε τοῖς νεανίσκοις σύνισθι καὶ δεῦρο παρʼ ἡμᾶς φοίτα ὡς παρὰ φίλους τε καὶ πάνυ οἰκείους. 
καὶ μήν, ἦν δʼ ἐγώ, ὦ Κέφαλε, χαίρω γε διαλεγόμενος"
328e,"τοῖς σφόδρα πρεσβύταις· δοκεῖ γάρ μοι χρῆναι παρʼ αὐτῶν πυνθάνεσθαι, ὥσπερ τινὰ ὁδὸν προεληλυθότων ἣν καὶ ἡμᾶς ἴσως δεήσει πορεύεσθαι, ποία τίς ἐστιν, τραχεῖα καὶ χαλεπή, ἢ ῥᾳδία καὶ εὔπορος. καὶ δὴ καὶ σοῦ ἡδέως ἂν πυθοίμην ὅτι σοι φαίνεται τοῦτο, ἐπειδὴ ἐνταῦθα ἤδη εἶ τῆς ἡλικίας ὃ δὴ ἐπὶ γήραος οὐδῷ φασιν εἶναι οἱ ποιηταί, πότερον χαλεπὸν τοῦ βίου, ἢ πῶς σὺ αὐτὸ ἐξαγγέλλεις."
329a,"ἐγώ σοι, ἔφη, νὴ τὸν Δία ἐρῶ, ὦ Σώκρατες, οἷόν γέ μοι φαίνεται. πολλάκις γὰρ συνερχόμεθά τινες εἰς ταὐτὸν παραπλησίαν ἡλικίαν ἔχοντες, διασῴζοντες τὴν παλαιὰν παροιμίαν· οἱ οὖν πλεῖστοι ἡμῶν ὀλοφύρονται συνιόντες, τὰς ἐν τῇ νεότητι ἡδονὰς ποθοῦντες καὶ ἀναμιμνῃσκόμενοι περί τε τἀφροδίσια καὶ περὶ πότους τε καὶ εὐωχίας καὶ ἄλλʼ ἄττα ἃ τῶν τοιούτων ἔχεται, καὶ ἀγανακτοῦσιν ὡς μεγάλων τινῶν ἀπεστερημένοι καὶ τότε μὲν εὖ ζῶντες, νῦν δὲ οὐδὲ ζῶντες."
329b,"ἔνιοι δὲ καὶ τὰς τῶν οἰκείων προπηλακίσεις τοῦ γήρως ὀδύρονται, καὶ ἐπὶ τούτῳ δὴ τὸ γῆρας ὑμνοῦσιν ὅσων κακῶν σφίσιν αἴτιον. ἐμοὶ δὲ δοκοῦσιν, ὦ Σώκρατες, οὗτοι οὐ τὸ αἴτιον αἰτιᾶσθαι. εἰ γὰρ ἦν τοῦτʼ αἴτιον, κἂν ἐγὼ τὰ αὐτὰ ταῦτα ἐπεπόνθη, ἕνεκά γε γήρως, καὶ οἱ ἄλλοι πάντες ὅσοι ἐνταῦθα ἦλθον ἡλικίας. νῦν δʼ ἔγωγε ἤδη ἐντετύχηκα οὐχ οὕτως ἔχουσιν καὶ ἄλλοις, καὶ δὴ καὶ Σοφοκλεῖ ποτε τῷ ποιητῇ παρεγενόμην ἐρωτωμένῳ ὑπό τινος· πῶς, ἔφη,"
329c,"ὦ Σοφόκλεις, ἔχεις πρὸς τἀφροδίσια; ἔτι οἷός τε εἶ γυναικὶ συγγίγνεσθαι; καὶ ὅς, εὐφήμει, ἔφη, ὦ ἄνθρωπε· ἁσμενέστατα μέντοι αὐτὸ ἀπέφυγον, ὥσπερ λυττῶντά τινα καὶ ἄγριον δεσπότην ἀποδράς. εὖ οὖν μοι καὶ τότε ἔδοξεν ἐκεῖνος εἰπεῖν, καὶ νῦν οὐχ ἧττον. παντάπασι γὰρ τῶν γε τοιούτων ἐν τῷ γήρᾳ πολλὴ εἰρήνη γίγνεται καὶ ἐλευθερία· ἐπειδὰν αἱ ἐπιθυμίαι παύσωνται κατατείνουσαι καὶ χαλάσωσιν, παντάπασιν τὸ τοῦ Σοφοκλέους γίγνεται,"
329d,"δεσποτῶν πάνυ πολλῶν ἐστι καὶ μαινομένων ἀπηλλάχθαι. ἀλλὰ καὶ τούτων πέρι καὶ τῶν γε πρὸς τοὺς οἰκείους μία τις αἰτία ἐστίν, οὐ τὸ γῆρας, ὦ Σώκρατες, ἀλλʼ ὁ τρόπος τῶν ἀνθρώπων. ἂν μὲν γὰρ κόσμιοι καὶ εὔκολοι ὦσιν, καὶ τὸ γῆρας μετρίως ἐστὶν ἐπίπονον· εἰ δὲ μή, καὶ γῆρας, ὦ Σώκρατες, καὶ νεότης χαλεπὴ τῷ τοιούτῳ συμβαίνει. 
καὶ ἐγὼ ἀγασθεὶς αὐτοῦ εἰπόντος ταῦτα, βουλόμενος ἔτι"
329e,"λέγειν αὐτὸν ἐκίνουν καὶ εἶπον· ὦ Κέφαλε, οἶμαί σου τοὺς πολλούς, ὅταν ταῦτα λέγῃς, οὐκ ἀποδέχεσθαι ἀλλʼ ἡγεῖσθαί σε ῥᾳδίως τὸ γῆρας φέρειν οὐ διὰ τὸν τρόπον ἀλλὰ διὰ τὸ πολλὴν οὐσίαν κεκτῆσθαι· τοῖς γὰρ πλουσίοις πολλὰ παραμύθιά φασιν εἶναι."
330a,"ὅτι οὐ διʼ αὑτὸν ἀλλὰ διὰ τὴν πόλιν εὐδοκιμοῖ, ἀπεκρίνατο ὅτι οὔτʼ ἂν αὐτὸς Σερίφιος ὢν ὀνομαστὸς ἐγένετο οὔτʼ ἐκεῖνος Ἀθηναῖος. καὶ τοῖς δὴ μὴ πλουσίοις, χαλεπῶς δὲ τὸ γῆρας φέρουσιν, εὖ ἔχει ὁ αὐτὸς λόγος, ὅτι οὔτʼ ἂν ὁ ἐπιεικὴς πάνυ τι ῥᾳδίως γῆρας μετὰ πενίας ἐνέγκοι οὔθʼ ὁ μὴ ἐπιεικὴς πλουτήσας εὔκολός ποτʼ ἂν ἑαυτῷ γένοιτο. 
πότερον δέ, ἦν δʼ ἐγώ, ὦ Κέφαλε, ὧν κέκτησαι τὰ πλείω παρέλαβες ἢ ἐπεκτήσω;"
330b,"ποῖʼ ἐπεκτησάμην, ἔφη, ὦ Σώκρατες; μέσος τις γέγονα χρηματιστὴς τοῦ τε πάππου καὶ τοῦ πατρός. ὁ μὲν γὰρ πάππος τε καὶ ὁμώνυμος ἐμοὶ σχεδόν τι ὅσην ἐγὼ νῦν οὐσίαν κέκτημαι παραλαβὼν πολλάκις τοσαύτην ἐποίησεν, Λυσανίας δὲ ὁ πατὴρ ἔτι ἐλάττω αὐτὴν ἐποίησε τῆς νῦν οὔσης· ἐγὼ δὲ ἀγαπῶ ἐὰν μὴ ἐλάττω καταλίπω τούτοισιν, ἀλλὰ βραχεῖ γέ τινι πλείω ἢ παρέλαβον. 
οὗ τοι ἕνεκα ἠρόμην, ἦν δʼ ἐγώ, ὅτι μοι ἔδοξας οὐ σφόδρα"
330c,"ἀγαπᾶν τὰ χρήματα, τοῦτο δὲ ποιοῦσιν ὡς τὸ πολὺ οἳ ἂν μὴ αὐτοὶ κτήσωνται· οἱ δὲ κτησάμενοι διπλῇ ἢ οἱ ἄλλοι ἀσπάζονται αὐτά. ὥσπερ γὰρ οἱ ποιηταὶ τὰ αὑτῶν ποιήματα καὶ οἱ πατέρες τοὺς παῖδας ἀγαπῶσιν, ταύτῃ τε δὴ καὶ οἱ χρηματισάμενοι περὶ τὰ χρήματα σπουδάζουσιν ὡς ἔργον ἑαυτῶν, καὶ κατὰ τὴν χρείαν ᾗπερ οἱ ἄλλοι. χαλεποὶ οὖν καὶ συγγενέσθαι εἰσίν, οὐδὲν ἐθέλοντες ἐπαινεῖν ἀλλʼ ἢ τὸν πλοῦτον. 
ἀληθῆ, ἔφη, λέγεις."
330d,"πάνυ μὲν οὖν, ἦν δʼ ἐγώ. ἀλλά μοι ἔτι τοσόνδε εἰπέ· τί μέγιστον οἴει ἀγαθὸν ἀπολελαυκέναι τοῦ πολλὴν οὐσίαν κεκτῆσθαι; 
ὅ, ἦ δʼ ὅς, ἴσως οὐκ ἂν πολλοὺς πείσαιμι λέγων. εὖ γὰρ ἴσθι, ἔφη, ὦ Σώκρατες, ὅτι, ἐπειδάν τις ἐγγὺς ᾖ τοῦ οἴεσθαι τελευτήσειν, εἰσέρχεται αὐτῷ δέος καὶ φροντὶς περὶ ὧν ἔμπροσθεν οὐκ εἰσῄει. οἵ τε γὰρ λεγόμενοι μῦθοι περὶ τῶν ἐν Ἅιδου, ὡς τὸν ἐνθάδε ἀδικήσαντα δεῖ ἐκεῖ διδόναι"
330e,"δίκην, καταγελώμενοι τέως, τότε δὴ στρέφουσιν αὐτοῦ τὴν ψυχὴν μὴ ἀληθεῖς ὦσιν· καὶ αὐτός—ἤτοι ὑπὸ τῆς τοῦ γήρως ἀσθενείας ἢ καὶ ὥσπερ ἤδη ἐγγυτέρω ὢν τῶν ἐκεῖ μᾶλλόν τι καθορᾷ αὐτά—ὑποψίας δʼ οὖν καὶ δείματος μεστὸς γίγνεται καὶ ἀναλογίζεται ἤδη καὶ σκοπεῖ εἴ τινά τι ἠδίκησεν."
331a,"καὶ ζῇ μετὰ κακῆς ἐλπίδος· τῷ δὲ μηδὲν ἑαυτῷ ἄδικον συνειδότι ἡδεῖα ἐλπὶς ἀεὶ πάρεστι καὶ ἀγαθὴ γηροτρόφος , ὡς καὶ Πίνδαρος λέγει. χαριέντως γάρ τοι, ὦ Σώκρατες, τοῦτʼ ἐκεῖνος εἶπεν, ὅτι ὃς ἂν δικαίως καὶ ὁσίως τὸν βίον διαγάγῃ,  γλυκεῖά οἱ καρδίαν ἀτάλλοισα γηροτρόφος συναορεῖ ἐλπὶς ἃ μάλιστα θνατῶν πολύστροφον γνώμαν κυβερνᾷ.  Pindar Frag. 214, Loeb εὖ οὖν λέγει θαυμαστῶς ὡς σφόδρα. πρὸς δὴ τοῦτʼ ἔγωγε τίθημι τὴν τῶν χρημάτων κτῆσιν πλείστου ἀξίαν εἶναι, οὔ"
